id,name,wiki_url,last_update,age_groups,simple_description,clinical_description
DB00034,Interferon alfa-2a,http://en.wikipedia.org/wiki/Peginterferon_alfa-2a,2022-02-03,,A medication used to treat hepatitis B and C infections by activating the immune system.,A form of recombinant human interferon used to stimulate the innate antiviral response in the treatment of hepatitis B and C viruses.
DB15954,Strychnine,http://en.wikipedia.org/wiki/Strychnine,2021-02-13,,,
DB14526,Chromic citrate,,2021-01-08,,,
DB00352,Tioguanine,http://en.wikipedia.org/wiki/Tioguanine,2022-05-02,,A cancer chemotherapy medication used to treat certain types of blood cancer and to prevent cancer from coming back.,"A purine analogue antineoplastic agent used for the induction of remission, and for remission consolidation in patients with acute nonlymphocytic anemias."
DB10990,Haemophilus influenzae type B strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen,,2022-05-02,,,
DB15773,anti-OX40 antibody BMS 986178,,2020-08-21,,,
DB10618,Mackerel,http://en.wikipedia.org/wiki/Mackerel,2020-06-12,,An extract from Mackerel used in allergy testing.,An extract from Mackerel used in allergy testing.
DB01263,Posaconazole,http://en.wikipedia.org/wiki/Posaconazole,2022-05-02,,A medication used to treat fungal infection in patients with weak immune function.,A triazole antifungal drug that is used to treat invasive infections by Candida species and Aspergillus species in severely immunocompromised patients.
DB06735,Enclomiphene,http://en.wikipedia.org/wiki/Enclomifene,2021-02-21,,,
DB02770,7-alpha-D-Ribofuranosyl-2-aminopurine-5'-phosphate,,2020-06-12,,,
DB16275,Otlertuzumab,http://en.wikipedia.org/wiki/Otlertuzumab,2021-02-21,,,
DB13669,Morpholine,http://en.wikipedia.org/wiki/Morpholine,2020-06-12,,,
DB14151,Phosphorus,http://en.wikipedia.org/wiki/Phosphorus,2021-05-14,,A nutrient used to treat low levels of phosphorous in the body.,A medication indicated in the treatment of hypophosphatemia.
DB12716,NB-001,,2020-06-12,,,
DB06694,Xylometazoline,http://en.wikipedia.org/wiki/Xylometazoline,2022-05-02,,A medication used to treat nasal conditions leading to stuffy nose and inflammatory conditions due to allergies or colds.,A direct-acting alpha-adrenergic agonist used for the symptomatic treatment of nasal congestion and minor inflammation due to allergies or colds.
DB06458,Remacemide,http://en.wikipedia.org/wiki/Remacemide,2021-02-21,,,
DB02129,Dihydroorotic Acid,,2020-06-12,,,
DB12055,MK-0767,,2020-06-12,,,
DB13281,Bromelains,http://en.wikipedia.org/wiki/Bromelain,2022-05-02,['adult'],A medication used to remove dead tissue and to treat inflammation.,A protease indicated in the treatment of inflammation and for eschar removal.
DB02368,N-Acetyl-L-Citrulline,,2020-07-02,,,
DB14186,Cinnamyl alcohol,http://en.wikipedia.org/wiki/Cinnamyl_alcohol,2020-06-12,,,
DB01836,"[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone",,2020-06-12,,,
DB14875,AZD-4017,,2020-06-12,,,
DB04843,Mepenzolate,http://en.wikipedia.org/wiki/Mepenzolate,2022-05-02,,"A medication that was previously used to treat ulcers in the digestive tract, but is no longer used today.","A postganglionic parasympathetic inhibitor that was previously approved for improving the healing of gastric ulcers, but has been discontinued."
DB10898,Oryctolagus cuniculus hair,,2020-06-12,,An extract from Oryctolagus cuniculus hair used in allergy testing.,An extract from Oryctolagus cuniculus hair used in allergy testing.
DB08660,Quinalizarin,http://en.wikipedia.org/wiki/Quinalizarin,2020-06-12,,,
DB00299,Penciclovir,http://en.wikipedia.org/wiki/Penciclovir,2022-05-02,,A medication applied to the skin to treat cold sores that are caused by a virus called the herpes simplex virus.,A topical nucleoside polymerase inhibitor used in the treatment of recurrent herpes labialis.
DB12224,Oxothiazolidinecarboxylic acid,,2020-06-12,,,
DB01158,Bretylium,http://en.wikipedia.org/wiki/Bretylium,2022-05-02,,"A medication used to treat and prevent serious heart conditions, such as irregular heartbeats or rhythms.","A norepinephrine release inhibitor used for the prophylaxis and therapy of ventricular fibrillation, as well as the treatment of life-threatening ventricular arrhythmias."
DB08246,"(2S)-4-(2,5-DIFLUOROPHENYL)-N,N-DIMETHYL-2-PHENYL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE",,2020-06-12,,,
DB00311,Ethoxzolamide,http://en.wikipedia.org/wiki/Ethoxzolamide,2022-02-03,,,
DB03407,4-Nitrocatechol,,2020-06-12,,,
DB16719,Influenza A virus A/Victoria/1/2020 (H1N1) live (attenuated) antigen,,2021-08-22,,,
DB09031,Miltefosine,http://en.wikipedia.org/wiki/Miltefosine,2021-08-19,,A medication used to treat infections caused by specific parasites.,"An antileishmanial agent used to treat leishmaniasis, a group of disease caused by parasites of the Leishmania type."
DB06736,Aceclofenac,http://en.wikipedia.org/wiki/Aceclofenac,2022-02-03,,,
DB05778,Col-118,,2020-06-12,,,
DB07808,"(1S,2R)-2-[(2,5-difluorophenyl)carbamoyl]cyclopropanecarboxylic acid",,2020-06-12,,,
DB01320,Fosphenytoin,http://en.wikipedia.org/wiki/Fosphenytoin,2022-05-02,,A medication used to control seizures.,An antiepileptic agent used for the management of generalized convulsive status epilepticus and prevention and treatment of seizures occurring during neurosurgery.
DB13889,Meningococcal polysaccharide vaccine group A,,2020-06-12,,,
DB00254,Doxycycline,http://en.wikipedia.org/wiki/Doxycycline,2022-05-02,,An antibiotic used to treat a wide variety of infections in the body.,A tetracycline antibiotic used to treat a wide variety of bacterial infections.
DB16127,Cinpanemab,,2021-02-21,,,
DB07787,"5-FLUORO-1-[4-(4-PHENYL-3,6-DIHYDROPYRIDIN-1(2H)-YL)BUTYL]QUINAZOLINE-2,4(1H,3H)-DIONE",,2020-06-12,,,
DB11549,Tiletamine,http://en.wikipedia.org/wiki/Tiletamine,2021-02-21,,,
DB08068,N-[4-CHLORO-3-(PYRIDIN-3-YLOXYMETHYL)-PHENYL]-3-FLUORO-,,2020-06-12,,,
DB03716,5'-Fluoro-5'-Deoxyadenosine,,2020-06-12,,,
DB06812,Povidone-iodine,http://en.wikipedia.org/wiki/Povidone-iodine,2022-05-02,,A medication used to prevent wound infections.,A topical antiseptic agent used for the treatment and prevention of infection in wounds.
DB03526,AL5927,,2020-06-12,,,
DB10851,White catfish,http://en.wikipedia.org/wiki/White_catfish,2020-06-12,,An extract from White catfish used in allergy testing.,An extract from White catfish used in allergy testing.
DB13765,Mercuric chloride,http://en.wikipedia.org/wiki/Mercury(II)_chloride,2021-02-21,,,
DB10941,Bassia hyssopifolia pollen,,2020-06-12,,An extract from Bassia hyssopifolia pollen used in allergy testing.,An extract from Bassia hyssopifolia pollen used in allergy testing.
DB05243,XL019,,2020-06-12,,,
DB16344,Tulrampator,http://en.wikipedia.org/wiki/Tulrampator,2021-02-21,,,
DB09215,Droxicam,http://en.wikipedia.org/wiki/Droxicam,2021-02-21,,,
DB11243,Ethyl macadamiate,http://en.wikipedia.org/wiki/Ethyl_macadamiate,2020-06-12,,,
DB04879,Vatalanib,http://en.wikipedia.org/wiki/Vatalanib,2021-02-21,,,
DB12943,Milatuzumab,http://en.wikipedia.org/wiki/Milatuzumab,2021-02-21,,,
DB15131,Interferon alfa-2c,,2020-06-12,,,
DB12980,CHS-828,,2020-06-12,,,
DB14416,"Influenza B virus B/Phuket/3073/2013 hemagglutinin antigen (UV, formaldehyde inactivated)",,2020-06-12,,,
DB02426,Carboxyatractyloside,http://en.wikipedia.org/wiki/Carboxyatractyloside,2020-07-02,,,
DB01429,Aprindine,http://en.wikipedia.org/wiki/Aprindine,2022-01-02,,,
DB09260,Parnaparin,http://en.wikipedia.org/wiki/Parnaparin_sodium,2021-05-05,,A medication used to prevent blood clots.,"A low molecular weight heparin (LMWH) used to prevent blood clots, specifically deep vein thrombosis."
DB14858,Tadekinig alfa,,2021-02-21,,,
DB14401,Influenza B virus B/Massachusetts/2/2012 BX-51B hemagglutinin antigen (propiolactone inactivated),,2020-06-12,,,
DB07176,1-Naphthylamine-5-sulfonic acid,,2020-06-12,,,
DB08046,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,,2020-06-12,,,
DB08788,"3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE",,2020-06-12,,,
DB15721,Natural Killer Cell,http://en.wikipedia.org/wiki/Natural_killer_cell,2020-08-13,,,
DB11693,Voclosporin,http://en.wikipedia.org/wiki/Voclosporin,2022-02-03,,A medication used to treat lupus nephritis (LN) in patients suffering from lupus.,A calcineurin inhibitor for the treatment of lupus nephritis (LN) in patients diagnosed with systemic lupus erythematosus (SLE).
DB00964,Apraclonidine,http://en.wikipedia.org/wiki/Apraclonidine,2022-05-02,,A medication used to decrease pressure in the eyes.,An alpha adrenergic agonist used to treat raised intraocular pressure.
DB11073,Cetylpyridinium,http://en.wikipedia.org/wiki/Cetylpyridinium_chloride,2022-05-02,,"A compound used to reduce plaque and gingivitis, as well as whiten teeth.","A compound used to reduce plaque and gingivitis, as well as whiten teeth."
DB11626,Tasonermin,http://en.wikipedia.org/wiki/Tumor_necrosis_factor,2021-08-22,['adult'],A medication used with surgery to remove soft tissue tumors in the limbs.,A tumor necrosis factor alpha used along with surgery to remove soft tissue sarcomas of the limbs.
DB15008,GO-203-2C,,2020-06-12,,,
DB02897,Acetylphosphate,,2020-06-12,,,
DB07448,(2S)-3-[(R)-[(1S)-1-amino-3-phenylpropyl](hydroxy)phosphoryl]-2-benzylpropanoic acid,,2020-06-12,,,
DB08610,N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE,,2020-06-12,,,
DB09128,Brexpiprazole,http://en.wikipedia.org/wiki/Brexpiprazole,2022-05-02,['adult'],A medication used to treat depression and schizophrenia.,A serotonin–dopamine activity modulator used in the treatment of major depressive disorder as an adjunct and schizophrenia.
DB09016,Butriptyline,http://en.wikipedia.org/wiki/Butriptyline,2022-01-02,,,
DB04432,ZK-805623,,2020-06-12,,,
DB05633,Glypromate,,2020-06-12,,,
DB10575,Turkey,http://en.wikipedia.org/wiki/Turkey,2020-06-12,,An extract from Turkey used in allergy testing.,An extract from Turkey used in allergy testing.
DB04787,Tanaproget,http://en.wikipedia.org/wiki/Tanaproget,2021-02-21,,,
DB14305,Tribulus terrestris fruit,,2020-06-12,,,
DB16439,EpiVacCorona,,2021-01-16,,,
DB13505,Emepronium,http://en.wikipedia.org/wiki/Emepronium_bromide,2020-06-12,,,
DB02333,Deoxyuridine-5'-Triphosphate,,2020-07-02,,,
DB01803,2-(Trimethylammonium)Ethyl Thiol,,2020-06-12,,,
DB08460,MK-4965,,2020-06-12,,,
DB14704,Ribitol,http://en.wikipedia.org/wiki/Ribitol,2020-06-12,,,
DB13706,Eosin,http://en.wikipedia.org/wiki/Eosin,2021-05-29,,"A medication used to disinfect small skin wounds, bug bites, and sores.","A medication used to disinfect small skin wounds, bug bites, and sores."
DB02403,2-Fluoroaniline,,2020-07-02,,,
DB16708,Cipaglucosidase alfa,,2021-07-22,,,
DB04517,Dipyrromethane Cofactor,,2020-06-12,,,
DB00781,Polymyxin B,http://en.wikipedia.org/wiki/Polymyxin_B,2022-05-02,,An antibiotic used to treat a wide variety of infections in the body.,A polymyxin antibiotic used to treat a wide variety of infections in the body.
DB12187,Abacavir hydroxyacetate,,2020-06-12,,,
DB02661,"Adenosine-5'-diphosphate-2',3'-vanadate",,2020-08-01,,,
DB15705,Influenza A virus A/Victoria/2454/2019 IVR-207 (H1N1) antigen (formaldehyde inactivated),,2020-08-01,,,
DB11947,Pridopidine,http://en.wikipedia.org/wiki/Pridopidine,2021-02-21,,,
DB12667,Protionamide,http://en.wikipedia.org/wiki/Prothionamide,2021-06-08,,An antibiotic used to treat resistant tuberculosis infections and leprosy.,An antitubercular thioamide-derivative used in the treatment of multi-drug resistant (MDR) tuberculosis and leprosy.
DB03570,Tris-Hydroxymethyl-Methyl-Ammonium,,2020-06-12,,,
DB01291,Pirbuterol,http://en.wikipedia.org/wiki/Pirbuterol,2022-05-02,,A medication used for asthma.,A beta-2 adrenergic agonist and bronchodilator used for the symptomatic treatment of asthma.
DB09156,Iopromide,http://en.wikipedia.org/wiki/Iopromide,2022-05-02,,"A medication used during X-ray tests to detect any abnormalities or injuries in various locations of the body, such as the blood vessels, kidneys, head, and neck.",An X-ray contrast agent used during various types of imaging tests such as angiography and contrast computed tomography (CT) imaging tests.
DB13277,Benziodarone,http://en.wikipedia.org/wiki/Benziodarone,2021-02-21,,,
DB08517,Sakuranetin,http://en.wikipedia.org/wiki/Sakuranetin,2020-06-12,,,
DB00228,Enflurane,http://en.wikipedia.org/wiki/Enflurane,2022-02-03,,A medication used during anesthesia for surgical procedures or to provide pain relief during labor and delivery.,A halogenated inhalational anesthetic agent used for the induction and maintenance of anesthesia and for analgesia during labor and delivery.
DB00849,Methylphenobarbital,http://en.wikipedia.org/wiki/Methylphenobarbital,2021-04-27,,,
DB03869,5'-O-(L-Serylsulfamoyl)adenosine,,2020-06-12,,,
DB04583,"5-Carbamoyl-1,1':4',1''-terphenyl-3-carboxylic acid",,2020-06-12,,,
DB00036,Coagulation factor VIIa Recombinant Human,http://en.wikipedia.org/wiki/Factor_VII,2022-05-02,"['adolescent', 'adult']","A medication used in the treatment of hemophilia, a type of bleeding disorder.",A form of recombinant human coagulation Factor VII used to treat hemophilia A and B.
DB13952,Estradiol acetate,http://en.wikipedia.org/wiki/Estradiol_acetate,2021-02-21,,A medication used to treat symptoms of menopause.,An estrogen used to treat vasomotor symptoms and moderate to severe vulvar and vaginal atrophy from menopause.
DB15158,BPI-3016,,2020-06-12,,,
DB08024,1-[2-(S)-AMINO-3-BIPHENYL-4-YL-PROPIONYL]-PYRROLIDINE-2-(S)-CARBONITRILE,,2020-06-12,,,
DB15779,Mebrofenin,http://en.wikipedia.org/wiki/Technetium_(99mTc)_mebrofenin,2021-02-21,,,
DB15490,Zuranolone,http://en.wikipedia.org/wiki/Zuranolone,2021-02-21,,,
DB09179,R-30490,http://en.wikipedia.org/wiki/R-30490,2020-06-12,,,
DB01646,N-Acetylmethionine,,2021-05-05,,A chemical compound used for dialysis and nutritional support in patients with weakness and nutritional deficiency.,An amino acid used as a peritoneal dialysis treatment in patients with renal failure and nutritional therapy in patients with nutritional deficiency or post-infection weakness.
DB15921,Tocopheryl nicotinate,,2021-05-07,,A vitamin supplement used to treat high cholesterol and narrowing of the arteries.,A vitamin E supplement indicated in the treatment of high cholesterol and narrowing of peripheral arteries.
DB13441,Niceritrol,http://en.wikipedia.org/wiki/Niceritrol,2021-02-21,,,
DB00877,Sirolimus,http://en.wikipedia.org/wiki/Sirolimus,2022-05-02,"['adolescent', 'adult', 'pediatric']","A drug used to treat a rare lung condition, prevent the rejection of organ transplants, and treat rare tumours that form in the soft tissues of various organs.","An mTOR inhibitor immunosuppressant used to prevent organ transplant rejections, treat lymphangioleiomyomatosis, and treat adults with perivascular epithelioid cell tumors."
DB06607,Catumaxomab,http://en.wikipedia.org/wiki/Catumaxomab,2022-05-02,,,
DB15099,GW-468816,,2020-06-12,,,
DB15036,Sitravatinib,http://en.wikipedia.org/wiki/Sitravatinib,2021-02-21,,,
DB05871,UC-781,,2021-08-13,,,
DB02847,"(2s,3r)-1-Amino-2-Methylbutane-2,3-Diol",,2020-06-12,,,
DB13467,Lanatoside C,http://en.wikipedia.org/wiki/Lanatoside_C,2021-02-21,,,
DB11889,Lanicemine,http://en.wikipedia.org/wiki/Lanicemine,2021-02-21,,,
DB09344,Invert sugar,http://en.wikipedia.org/wiki/Inverted_sugar_syrup,2021-03-26,,,
DB08651,3'-THIO-THYMIDINE-5'-PHOSPHATE,,2020-06-12,,,
DB13425,Flutrimazole,http://en.wikipedia.org/wiki/Flutrimazole,2021-05-05,,A topical gel used to treat dandruff and a more severe scalp condition.,A topical antifungal used to treat pityriasis capitis and seborrheic dermatitis.
DB11440,Norgestomet,http://en.wikipedia.org/wiki/Norgestomet,2021-02-21,,,
DB11586,Asunaprevir,http://en.wikipedia.org/wiki/Asunaprevir,2022-05-02,['adult'],A drug used to treat hepatitis C genotype 1b.,An NS3 protease inhibitor used to treat hepatitis C genotype 1b.
DB16261,Odevixibat,http://en.wikipedia.org/wiki/Odevixibat,2021-07-24,,A medication used to treat severe itching in patients with a certain inherited condition.,An ileal sodium/bile acid cotransporter inhibitor indicated in the treatment of pruritus in patients with progressive familial intrahepatic cholestasis.
DB15413,Pafolacianine,http://en.wikipedia.org/wiki/Pafolacianine,2021-12-17,['adult'],A drug used for imaging procedures to detect ovarian cancers in adults.,An optical imaging agent indicated in adult patients with ovarian cancer as an adjunct for intraoperative identification of malignant lesions.
DB05659,Faropenem medoxomil,http://en.wikipedia.org/wiki/Faropenem,2021-02-21,,,
DB10336,Streptococcus pneumoniae type 19f capsular polysaccharide antigen,,2020-06-12,,,
DB12267,Brigatinib,http://en.wikipedia.org/wiki/Brigatinib,2022-05-02,['adult'],A medication used to treat some types of lung cancer.,An anaplastic lymphoma kinase inhibitor used to treat anaplastic lymphoma kinase positive metastatic non small cell lung cancer.
DB13583,Mephenesin,http://en.wikipedia.org/wiki/Mephenesin,2021-02-21,,A medication used to treat muscle spasms in diseases like Parkinson's and Multiple Sclerosis.,A cresol glyceryl ether used to treat muscle spasticity in Parkinson's and Multiple Sclerosis.
DB16329,siG12D LODER,,2020-12-20,,,
DB14279,Corydalis ambigua tuber,,2020-06-12,,,
DB00850,Perphenazine,http://en.wikipedia.org/wiki/Perphenazine,2022-05-02,,A medication used to treat schizophrenia as well as nausea and vomiting.,A phenothiazine used to treat schizophrenia as well as nausea and vomiting.
DB03770,N-hydroxyguanidine,,2020-06-12,,,
DB13453,Xenon,http://en.wikipedia.org/wiki/Xenon,2021-02-21,,,
DB04720,"S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",,2020-06-12,,,
DB07329,1-[N-4'-NITROBENZYL-N-4'-CARBOXYBUTYLAMINO]METHYLPHOSPHONIC ACID,,2020-06-12,,,
DB05656,Veltuzumab,http://en.wikipedia.org/wiki/Veltuzumab,2021-02-21,,,
DB11358,Evening primrose oil,http://en.wikipedia.org/wiki/Oenothera_biennis,2021-09-28,,,
DB00855,Aminolevulinic acid,http://en.wikipedia.org/wiki/Aminolevulinic_acid,2022-05-02,,A medication used to treat certain skin conditions and improve the quality of imaging of certain cancers.,"A porphyrin precursor used to treat actinic keratosis of the face, scalp, and upper extremities, as well as to visualize a glioma."
DB00150,Tryptophan,http://en.wikipedia.org/wiki/Tryptophan,2022-05-02,,A nutrient used to provide nutrition to some patients in hospitals and healthcare institutions.,An amino acid commonly found as a component of total parenteral nutrition.
DB05268,iCo-007,,2020-06-12,,,
DB16584,Liprotamase protease,,2021-05-05,,A medication used to treat inflammation from a number of causes.,An anti-inflammatory indicated for a wide variety of inflammatory conditions.
DB13102,AZD-8418,,2020-06-12,,,
DB04961,Troxacitabine,http://en.wikipedia.org/wiki/Troxacitabine,2021-02-21,,,
DB10398,Salix nigra pollen,,2020-06-12,,An extract from Salix nigra pollen used in allergy testing.,An extract from Salix nigra pollen used in allergy testing.
DB07584,"N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine",,2020-06-12,,,
DB01043,Memantine,http://en.wikipedia.org/wiki/Memantine,2022-05-02,,A medication used to treat Alzheimer's disease.,An NMDA receptor antagonist used to treat moderate to severe dementia in Alzheimer's.
DB11091,Hydrogen peroxide,http://en.wikipedia.org/wiki/Hydrogen_peroxide,2021-02-21,,A compound used as a disinfectant.,A compound used as a disinfectant and sterilizer.
DB09149,Florbetapir (18F),http://en.wikipedia.org/wiki/Florbetapir_(18F),2021-08-13,,"A medication used during diagnostic tests to look for signs of cognitive impairment due to any medical conditions, such as Alzheimer’s Disease.",A radiopharmaceutical diagnostic agent used during Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients to diagnose the causes of cognitive impairment.
DB04704,20-hydroxycholesterol,,2020-06-12,,,
DB11218,Tea tree oil,http://en.wikipedia.org/wiki/Tea_tree_oil,2022-05-02,,,
DB15145,Ziresovir,http://en.wikipedia.org/wiki/Ziresovir,2021-02-21,,,
DB02837,4-(Hydrogen sulfate)-beta-D-galactopyranose,,2020-06-12,,,
DB02229,5'-O-[(L-methionyl)-sulphamoyl]adenosine,,2020-06-12,,,
DB01037,Selegiline,http://en.wikipedia.org/wiki/Selegiline,2022-05-02,,A medication used to treat Parkinson's disease as well as depression.,A monoamine oxidase inhibitor used to treat major depressive disorder and Parkinson's.
DB14275,Indian frankincense,http://en.wikipedia.org/wiki/Boswellia_serrata,2020-06-12,,,
DB02364,2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,,2020-07-02,,,
DB10316,Mumps virus strain B level jeryl lynn live antigen,,2022-05-02,,A vaccine used to prevent Mumps.,A vaccine used to prevent Mumps.
DB07737,(2S)-4-(4-fluorobenzyl)-N-(3-sulfanylpropyl)piperazine-2-carboxamide,,2020-06-12,,,
DB03931,Diguanosine-5'-Triphosphate,,2020-06-12,,,
DB08191,"4-(5-phenyl-1H-pyrrolo[2,3-b]pyridin-3-yl)benzoic acid",,2020-06-12,,,
DB10917,Cedar oil,http://en.wikipedia.org/wiki/Juniperus_virginiana,2022-05-02,,An extract from Juniperus virginiana used in allergy testing.,An extract from Juniperus virginiana used in allergy testing.
DB03110,2-Chlorophenol,http://en.wikipedia.org/wiki/2-Chlorophenol,2020-06-12,,,
DB11792,Mirodenafil,http://en.wikipedia.org/wiki/Mirodenafil,2021-02-21,,,
DB08755,N-[(1S)-2-{[(1R)-2-(benzyloxy)-1-cyano-1-methylethyl]amino}-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide,,2020-06-12,,,
DB10919,Black walnut,http://en.wikipedia.org/wiki/Black_walnut,2020-06-12,,An extract from Black walnut used in allergy testing.,An extract from Black walnut used in allergy testing.
DB10783,Neisseria meningitidis serogroup b nhba fusion protein antigen,,2020-06-12,,,
DB10741,Quercus lobata pollen,,2020-06-12,,An extract from Quercus lobata pollen used in allergy testing.,An extract from Quercus lobata pollen used in allergy testing.
DB06151,Acetylcysteine,http://en.wikipedia.org/wiki/Acetylcysteine,2022-05-02,,"A medication used to thin the mucus in certain lung conditions, and also as an antidote for acetaminophen overdose.",A medication that can be used as a mucolytic in patients with certain lung conditions and as an antidote for acetaminophen overdose.
DB08665,"6,11-DIHYDRO-11-ETHYL-6-METHYL-9-NITRO-5H-PYRIDO[2,3-B][1,5]BENZODIAZEPIN-5-ONE",,2020-06-12,,,
DB09120,Zucapsaicin,http://en.wikipedia.org/wiki/Zucapsaicin,2022-05-02,,A medication used to relieve pain in conditions of the bone and joint.,A topical analgesic used as an adjunct to relieve severe pain of osteoarthritis of the knee in selected adult patients.
DB12375,Oglemilast,,2021-02-21,,,
DB08273,4-HYDROXY-5-IODO-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION,,2020-06-12,,,
DB03919,Ethyl-Carbamic Acid Methyl Ester,,2020-06-12,,,
DB14854,TC-6987,,2020-06-12,,,
DB04714,ISOPENTENYL PYROPHOSPHATE,,2020-06-12,,,
DB05006,Adecatumumab,http://en.wikipedia.org/wiki/Adecatumumab,2021-02-21,,,
DB05134,Tanespimycin,http://en.wikipedia.org/wiki/Tanespimycin,2021-02-21,,,
DB09425,Indium In-111 pentetate,,2020-06-12,,A medication used during diagnostic tests that look at abnormalities in the brain or spinal cord fluid.,A radiopharmaceutical diagnostic agent used for radionuclide cisternography.
DB04250,Butyrylthiocholine,,2020-06-12,,,
DB09446,Safflower oil,http://en.wikipedia.org/wiki/Safflower,2021-05-21,,,
DB14877,Lintuzumab,http://en.wikipedia.org/wiki/Lintuzumab,2021-02-21,,,
DB02438,3-O-Methylfructose in Linear Form,,2020-07-02,,,
DB11028,Polistes exclamans venom protein,,2022-05-02,,An extract from Polistes exclamans venom protein used in allergy testing.,An extract from Polistes exclamans venom protein used in allergy testing.
DB10483,Schinus molle pollen,,2020-06-12,,An extract from Schinus molle pollen used in allergy testing.,An extract from Schinus molle pollen used in allergy testing.
DB10693,Ctenocephalides felis,http://en.wikipedia.org/wiki/Ctenocephalides_felis,2020-06-12,,An extract from Ctenocephalides felis used in allergy testing.,An extract from Ctenocephalides felis used in allergy testing.
DB10984,Peppermint,http://en.wikipedia.org/wiki/Peppermint,2022-05-02,,An extract from Peppermint used in allergy testing.,An extract from Peppermint used in allergy testing.
DB07012,"6-AMINO-3,7-DIHYDRO-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE",,2020-06-12,,,
DB12712,Pilsicainide,http://en.wikipedia.org/wiki/Pilsicainide,2021-02-21,,,
DB04793,"1,4:3,6-Dianhydro-2-O-(3-carbamimidoylphenyl)-5-O-(4-carbamimidoylphenyl)-D-glucitol",,2020-06-12,,,
DB07409,"(1-HYDROXY-1-PHOSPHONO-2-[1,1';4',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID",,2020-06-12,,,
DB08636,2-Hydroxybenzalpyruvate,,2021-12-11,,,
DB04500,Acedoben,http://en.wikipedia.org/wiki/Acedoben,2021-02-21,,,
